id	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
DE948	1557	1440	2305	3706	146031	157164
DE949	2815	2811	5864	8811	298886	313533
DE94A	704	1117	1756	1879	99854	100779
DE94B	1221	1285	1944	3096	128123	135270
DE94C	1350	1686	2175	3490	158677	165088
DE94D	995	1181	1775	2290	117300	126131
DE94E	3201	3476	5525	7814	350133	358852
DE94F	1354	1061	2558	4088	122983	134404
DE94G	699	1116	1689	2463	94297	92622
DE94H	452	642	918	1062	56648	57742
DEA11	5802	6056	30167	40848	568440	581122
DEA12	4076	6031	10448	14708	523311	496665
DEA13	4751	7319	15935	21302	603194	582140
DEA14	1946	2562	5949	7615	243499	236516
DEA15	2233	2939	5325	6613	264662	260018
DEA16	1327	2153	3679	5599	174514	168925
DEA17	1600	2671	3651	4601	222456	217108
DEA18	886	1252	2742	3330	119650	113935
DEA19	1324	1890	2952	3879	165235	162575
DEA1A	3017	4232	8524	9989	372218	356420
DEA1B	2501	3254	5133	8233	295206	308928
DEA1C	3863	5253	10689	14618	505766	502045
DEA1D	3628	4266	10003	14655	442198	444515
DEA1E	2191	3056	5276	6810	296984	303331
DEA1F	3482	4821	6952	9361	471838	474045
DEA21	2170	2386	6750	8773	244429	259030
DEA22	3129	2865	9777	13037	304639	316416
DEA23	9985	9289	33993	41140	962580	995397
DEA24	1377	1681	5118	6181	161282	161345
DEA25	2588	3291	5209	6409	304874	309929
DEA26	2110	2620	4862	6051	263718	270725
DEA27	3834	4506	8965	12322	449646	464209
DEA28	1508	1906	3138	4280	186401	192973
DEA29	1981	2619	3298	4473	245957	256850
DEA2A	2412	3015	5664	7588	285248	286801
DEA2B	2204	2751	4534	5529	274258	278345
DEA2C	4915	5164	8728	12118	566381	599042
DEA31	874	1428	1562	2118	121305	118597
DEA32	2134	3524	5281	6972	284085	264765
DEA33	2565	2461	8474	11742	264489	272951
DEA34	3426	3286	6992	9563	353146	370196
DEA35	1816	1990	3291	4576	210357	221381
DEA36	4740	7474	9183	12471	661065	639811
DEA37	3845	4083	7295	10309	429143	445019
DEA38	2343	2592	5113	6732	276881	281641
DEA41	3018	3384	7918	10258	321831	324912
DEA42	3182	3152	8337	11680	340039	354239
DEA43	2051	2735	5597	6622	253202	252949
DEA44	1124	1628	2513	3068	155116	151277
DEA45	3143	3987	6931	8450	364505	357582
DEA46	2732	3492	6874	8870	321161	319401
DEA47	2769	2482	5832	8190	285489	298838
DEA51	2834	4489	9743	11266	393236	381542
DEA52	4993	6743	12716	18242	591733	586909
DEA53	1549	2357	4718	5972	207201	193748
DEA54	1563	2040	2979	4138	180719	183065
DEA55	1254	2110	2659	3222	176709	168454
DEA56	2356	4031	6178	8043	350683	338466
DEA57	2114	2975	5847	7284	283746	273898
DEA58	3542	4775	9775	12281	460200	441704
DEA59	1196	1387	3020	4275	140248	140973
DEA5A	2282	3150	6774	9175	297850	288441
DEA5B	2508	3273	6096	7843	304522	307159
DEA5C	3214	4710	6666	9119	428271	419353
DEB11	990	1279	4332	5186	108959	106087
DEB12	892	1434	1870	2386	128504	129096
DEB13	1073	1554	2142	2822	137012	134912
DEB14	1297	1774	2749	3588	156965	157471
DEB15	639	1116	1515	1815	90397	86469
DEB16	496	758	1055	1364	65387	64863
DEB17	1702	2230	3710	4769	208557	212944
DEB18	1393	1976	3328	4332	183031	183618
DEB19	777	1060	1962	2544	104754	104263
DEB1A	973	1428	1851	2342	128520	126258
DEB1B	1640	2088	3611	5028	200197	201938
DEB21	924	1028	2847	3779	99650	103888
DEB22	855	1176	2048	2702	113710	113043
DEB23	743	1066	1587	2107	96363	95219
DEB24	428	738	1055	1371	64362	62813
DEB25	1188	1436	1673	2243	136422	141009
DEB31	364	513	1002	1309	48495	47090
DEB32	810	1131	3009	3427	100689	97770
DEB33	374	440	1025	1402	40497	43063
DEB34	1527	1670	7486	9103	164645	163777
DEB35	1803	1744	6724	7851	185970	198118
DEB36	413	619	1070	1209	53858	53683
DEB37	323	653	1178	1285	46425	41875
DEB38	436	570	1388	1772	49780	50673
DEB39	798	896	1679	2174	80492	82290
DEB3A	275	389	830	1327	35752	34719
DEB3B	971	1134	1782	2395	121428	125697
DEB3C	923	1408	1839	2354	133027	134341
DEB3D	594	831	1129	1572	77815	77877
DEB3E	1082	1108	2166	3367	122139	125822
DEB3F	840	1207	1222	1654	110017	107875
DEB3G	532	969	954	1123	79489	74876
DEB3H	795	1075	1493	1976	108330	109957
DEB3I	1065	1469	1501	1960	145739	149202
DEB3J	1666	1840	3152	4578	191750	201451
DEB3K	622	1125	1070	1301	105842	101596
DEC01	2404	4307	8844	11717	353377	336826
DEC02	764	1237	1656	2214	106067	106001
DEC03	952	1835	2236	2768	148668	141426
DEC04	1375	2392	3720	6522	212587	207723
DEC05	1060	1721	3402	4535	157605	151859
DEC06	603	1055	1447	1879	95919	92763
DED11	1955	3068	5123	6582	251903	244951
DED12	484	904	1210	1560	66305	67613
DED13	739	1195	2491	2854	98840	95841
DED14	637	995	1090	1375	90192	81438
DED15	877	1826	2091	2909	154832	131431
DED16	1144	1701	2020	3401	155619	141622
DED17	1237	2554	2539	3240	212681	186059
DED18	668	1002	960	1271	96127	86667
DED19	883	1502	1680	2459	144859	127960
DED1A	649	1111	996	1458	95148	87237
DED1B	973	1735	1695	2115	144279	127229
DED1C	917	1609	1424	1804	143980	125675
DED21	5507	4775	9879	14676	452827	507513
DED22	437	771	985	1129	62076	56724
DED23	236	533	705	638	54157	40294
DED24	1162	1630	2143	2906	160486	146197
DED25	1161	1634	2333	3013	157946	148268
DED26	635	1081	1239	1770	112107	93239
DED27	771	1229	1655	2400	124991	111075
DED28	986	1847	1781	2252	159172	138772
